frame.number	frame.time_relative	_ws.col.def_src	_ws.col.def_dst	_ws.col.protocol	_ws.col.info	dhcp.id	dhcp.option.dhcp	dhcp.hw.mac_addr	dhcp.option.requested_ip_address	dhcp.ip.your
101	1668.226856457	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
102	1669.226879990	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
103	1670.226854410	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
104	1681.292654717	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
105	1681.292724039	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
106	1741.338856014	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
107	1741.338908618	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
108	1745.200669001	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.2? Tell 10.10.0.1					
109	1802.176713627	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
110	1802.176768731	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
111	1863.035081444	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
112	1863.035135037	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
113	1923.521060365	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.2					
114	1923.521133750	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
115	1977.026174007	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.253? Tell 10.10.0.1					
116	1978.026137201	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.253? Tell 10.10.0.1					
117	1979.026150291	b8:27:eb:3a:e2:c8	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.253? Tell 10.10.0.1					
118	1983.792335510	3c:78:95:3e:f4:62	ff:ff:ff:ff:ff:ff	ARP	Who has 10.10.0.254? Tell 10.10.0.253					
119	1983.792409363	b8:27:eb:ba:c7:ba	3c:78:95:3e:f4:62	ARP	10.10.0.254 is at b8:27:eb:ba:c7:ba					
